date,price
2024-11-02,0.3482
2024-11-03,0.3341
2024-11-04,0.3263
2024-11-05,0.3336
2024-11-06,0.363
2024-11-07,0.4065
2024-11-08,0.4447
2024-11-09,0.4967
2024-11-10,0.5901
2024-11-11,0.6132
2024-11-12,0.5709
2024-11-13,0.5783
2024-11-14,0.5792
2024-11-15,0.7071
2024-11-16,0.7416
2024-11-17,0.7026
2024-11-18,0.7325
2024-11-19,0.7387
2024-11-20,0.8003
2024-11-21,0.8218
2024-11-22,1.0175
2024-11-23,1.0658
2024-11-24,1.0226
2024-11-25,0.9435
2024-11-26,0.9603
2024-11-27,1.0116
2024-11-28,1.0321
2024-11-29,1.0755
2024-11-30,1.079
2024-12-01,1.1496
2024-12-02,1.2022
2024-12-03,1.1914
2024-12-04,1.1871
2024-12-05,1.1597
2024-12-06,1.2278
2024-12-07,1.2103
2024-12-08,1.1936
2024-12-09,1.0034
2024-12-10,1.0215
2024-12-11,1.0868
2024-12-12,1.1231
2024-12-13,1.1213
2024-12-14,1.061
2024-12-15,1.0996
2024-12-16,1.0775
2024-12-17,1.0522
2024-12-18,0.9681
2024-12-19,0.8806
2024-12-20,0.9501
2024-12-21,0.9052
2024-12-22,0.8834
2024-12-23,0.9264
2024-12-24,0.9358
2024-12-25,0.9176
2024-12-26,0.8611
2024-12-27,0.8771
2024-12-28,0.8895
2024-12-29,0.859
2024-12-30,0.8615
2024-12-31,0.8451
